[05.08.24 05:18:08] RaidBossSpawnManager onBossSpawned npc=29001 current_hp=229898.0 current_mp=667.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25146 current_hp=90169.0 current_mp=455.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=29054 current_hp=1352750.0 current_mp=9037.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25527 current_hp=1608553.0 current_mp=451.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25375 current_hp=87696.0 current_mp=426.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25373 current_hp=90169.0 current_mp=455.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25041 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25170 current_hp=195371.0 current_mp=994.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25023 current_hp=208019.0 current_mp=860.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25392 current_hp=141034.0 current_mp=795.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25273 current_hp=507285.0 current_mp=1660.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=29006 current_hp=622493.0 current_mp=3793.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25395 current_hp=288415.0 current_mp=1355.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25128 current_hp=148507.0 current_mp=827.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25360 current_hp=107186.0 current_mp=606.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25019 current_hp=206185.0 current_mp=575.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25398 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25501 current_hp=127782.0 current_mp=731.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25099 current_hp=273375.0 current_mp=1296.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25418 current_hp=273375.0 current_mp=1296.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25420 current_hp=335987.0 current_mp=1537.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=29014 current_hp=622493.0 current_mp=3793.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25388 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25391 current_hp=297015.0 current_mp=827.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25272 current_hp=233163.0 current_mp=668.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25079 current_hp=168366.0 current_mp=731.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25152 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25385 current_hp=174646.0 current_mp=927.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25118 current_hp=330579.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25223 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25383 current_hp=156584.0 current_mp=860.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25404 current_hp=148507.0 current_mp=827.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25277 current_hp=507285.0 current_mp=1660.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=29022 current_hp=858518.0 current_mp=399600.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25029 current_hp=578190.0 current_mp=1847.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25182 current_hp=512194.0 current_mp=2235.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25259 current_hp=1248928.0 current_mp=1975.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25481 current_hp=418874.0 current_mp=1847.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25484 current_hp=369009.0 current_mp=1660.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25372 current_hp=175392.0 current_mp=426.0
